Kepler ID,RA (J2000),DEC (J2000), Apparent Magnitude, App Mag Uncertainty
1701554,286.179100,39.363858,17.246,0.021
1701656,286.206380,37.337182,17.666,0.048
1701672,292.646630,37.286121,19.487,0.098
1701678,286.211280,37.484335,16.820,0.022
1701692,286.214460,37.400375,19.316,0.068
1701763,286.236410,37.959550,19.906,0.090
1701801,286.250930,39.026668,15.600,0.020
1849064,286.091690,37.663088,19.614,0.070
1849130,286.113720,37.745743,18.970,0.046
1849159,286.123590,37.341882,10.990,0.019
1849195,286.138620,38.176987,18.243,0.034
1849235,286.149620,37.395119,11.764,0.018
1849249,286.155740,37.667024,15.696,0.040
1849321,286.175730,38.043633,18.004,0.029
1849326,286.176710,39.858717,18.212,0.029
1849341,286.179830,37.431134,18.463,0.039
1849386,286.192970,38.168839,19.381,0.061
1849398,286.198010,37.592615,19.694,0.086
1849403,286.200360,37.785625,17.571,0.026
1849415,286.202500,37.400226,17.072,0.023
1849462,286.216010,37.389299,17.166,0.023
1849474,286.218300,37.357547,19.101,0.053
1849500,286.225190,37.430122,18.901,0.048
1849547,286.240340,38.633479,16.328,0.020
1849572,286.246830,37.348344,19.087,0.059
1849587,286.252350,37.542431,17.737,0.026
1849624,286.263660,37.976451,18.987,0.048
1849656,286.270920,37.821818,19.443,0.070
1849664,286.274520,37.664833,18.756,0.040
1849679,286.280340,38.620699,19.327,0.057
1849689,286.283160,37.620732,18.310,0.032
1849698,286.285430,37.367558,18.381,0.034
1849702,286.286860,37.359043,16.590,0.022
1849734,286.295010,37.350226,14.155,0.018
1849785,286.311990,38.110876,18.100,0.035
1849829,286.324610,37.352267,15.252,0.019
1849846,286.330960,37.915089,18.903,0.058
1849885,286.342920,37.342618,13.158,0.019
1850100,286.409890,37.594723,19.324,0.067
1850194,286.430320,38.555609,19.460,0.076
1850285,286.464560,37.755880,19.284,0.077
1995192,286.052810,39.556301,19.291,0.052
1995195,286.054330,37.762362,18.695,0.041
1995248,286.067780,37.814064,18.456,0.036
1995315,286.084970,37.476943,,
1995316,286.085870,38.090908,18.832,0.042
1995323,286.089250,37.347461,16.677,0.027
1995340,286.094690,37.510103,19.121,0.051
