galex_id,ra,dec,min_cnt,max_cnt,ave_cnt,lc_filename
6371232438459306026,297.449341362,50.2118333731,1.0,39.0,21.7840909091,
3154210925545789700,291.116653616,48.3114461004,1.0,22.0,11.0623145401,
2493483602089607531,281.471773599,44.716861433,1.0,30.0,12.2456140351,
2493483602089607549,281.45496813,44.7114153342,1.0,29.0,11.9477351916,
2493483602089607894,281.43865881,44.7203399394,10.0,200.0,138.338785047,
2493483602089607948,281.533344518,44.7645666007,1.0,20.0,9.16375838926,
2493483602089608420,281.652171519,44.8155138819,1.0,48.0,27.5855263158,
2493483602089608874,281.677134753,44.8662406469,1.0,47.0,28.4828947368,
2566315252313489666,282.763535681,42.4261253594,1.0,22.0,11.5052631579,
2566315252313489678,282.74486261,42.4181149597,1.0,19.0,10.2010869565,
2566315252313489706,282.753611871,42.439999163,1.0,19.0,8.3085106383,
2566315252313489716,282.855029052,42.4385579965,3.0,25.0,13.587628866,
2566315252313489725,282.79922296,42.4408389424,1.0,18.0,10.3195876289,
2566315252313489728,282.653287238,42.4359775222,1.0,26.0,13.2447916667,
2566315252313489741,282.594027757,42.4492684913,1.0,20.0,9.44502617801,
2566315252313489777,282.631339637,42.4376911781,3.0,58.0,39.4188481675,
2566315252313489808,282.805489839,42.4564309258,1.0,17.0,9.86082474227,
2566315252313489936,282.679685792,42.4700601455,90.0,1228.0,1089.96391753,
2566315252313489941,282.665141543,42.4546502527,12.0,135.0,104.097938144,
2566315252313489948,282.808610576,42.486759683,1.0,16.0,8.88144329897,
2566315252313490061,282.590886866,42.5062690967,3.0,20.0,10.3989637306,
2566315252313490066,282.627020967,42.5077625466,2.0,20.0,11.4072164948,
2566315252313490073,282.635191502,42.4944123452,4.0,68.0,44.6701030928,
2566315252313490107,282.458997866,42.4936700575,8.0,61.0,42.7277777778,
2566315252313490144,282.824000665,42.5061824984,1.0,22.0,10.5025906736,
2566315252313490147,282.600258548,42.5222328649,1.0,20.0,9.9381443299,
2566315252313490181,282.42574438,42.5247865414,1.0,18.0,9.73575129534,
2566315252313490193,282.652792788,42.4742649532,36.0,437.0,380.288659794,
2566315252313490208,282.695627261,42.5286632561,1.0,20.0,10.3367875648,
2566315252313490215,282.724094352,42.5076416284,2.0,47.0,30.5699481865,
2566315252313490225,282.724186882,42.4765344404,38.0,513.0,446.077319588,
2566315252313490237,283.005820728,42.5358480883,1.0,19.0,9.03092783505,
2566315252313490243,282.535827488,42.5353144911,1.0,21.0,10.6373056995,
2566315252313490322,282.590684435,42.5456769705,1.0,19.0,11.1494845361,
2566315252313490329,282.766410346,42.5521518764,1.0,18.0,8.52083333333,
2566315252313490330,282.652300589,42.546052646,1.0,21.0,11.3917525773,
2566315252313490359,282.993954487,42.5466883915,1.0,20.0,11.1658031088,
2566315252313490371,282.727909464,42.5563310919,1.0,18.0,9.80729166667,
2566315252313490383,282.731669476,42.5476489095,2.0,26.0,14.8756476684,
2566315252313490421,282.674738451,42.5207855067,20.0,238.0,197.510309278,
2566315252313490457,282.632017794,42.5666764165,1.0,26.0,14.4404145078,
2566315252313490458,282.546739757,42.5692831745,2.0,22.0,12.5364583333,
2566315252313490474,282.76550122,42.5712784217,1.0,22.0,10.3541666667,
2566315252313490510,282.424238216,42.5500952879,9.0,98.0,78.0927835052,
2566315252313490522,282.726257364,42.5790662084,2.0,24.0,11.4226804124,
2566315252313490526,282.770280648,42.5844798174,1.0,17.0,7.74611398964,
2566315252313490584,283.045905916,42.5723680938,7.0,68.0,45.5103092784,
2566315252313490587,282.417225124,42.5908926376,1.0,21.0,9.46113989637,
2566315252313490604,283.014732188,42.5972196821,2.0,18.0,7.86387434555,
2566315252313490612,282.655578385,42.5981340649,2.0,18.0,8.36458333333,
2566315252313490645,282.427931712,42.5936338023,2.0,27.0,14.5336787565,
2566315252313490677,283.082614057,42.5969186788,1.0,23.0,12.2435233161,
2566315252313490708,283.050224205,42.6074363595,2.0,20.0,8.71354166667,
2566315252313490709,282.903541397,42.6074884956,1.0,18.0,9.44559585492,
2566315252313490733,283.090730528,42.6057133469,1.0,20.0,11.4329896907,
2566315252313490739,283.104495205,42.6087331872,1.0,21.0,10.5284974093,
2566315252313490774,282.710074059,42.6017781967,1.0,38.0,22.4020618557,
2566315252313490784,283.123152559,42.5987493223,4.0,86.0,56.412371134,
2566315252313490787,282.280247873,42.6113158569,4.0,26.0,13.9184782609,
2566315252313490790,283.054187351,42.6173514852,1.0,14.0,8.30051813472,
2566315252313490803,282.438903789,42.5988606964,6.0,105.0,79.5309278351,
2566315252313490830,282.995513324,42.6156691645,1.0,32.0,17.6787564767,
2566315252313490856,282.259599276,42.6248055312,3.0,17.0,9.35398230088,
2566315252313490859,283.039628626,42.6155276146,1.0,31.0,18.324742268,
2566315252313490860,282.984132803,42.6198798853,1.0,29.0,15.5206185567,
2566315252313490865,282.791938525,42.549420775,12.0,128.0,99.0721649485,
2566315252313490872,282.42112185,42.6203324673,1.0,22.0,12.9226804124,
2566315252313490885,282.73468253,42.621814782,1.0,22.0,13.3092783505,
2566315252313490921,282.920631964,42.6229650286,1.0,21.0,11.3626943005,
2566315252313490928,282.69026874,42.6210810112,1.0,32.0,21.2680412371,
2566315252313490947,283.045568094,42.6344353804,1.0,15.0,7.88659793814,
2566315252313490964,282.377828969,42.6195902946,5.0,67.0,48.7731958763,
2566315252313490965,282.653850363,42.6324550437,1.0,17.0,9.60824742268,
2566315252313490978,282.310914057,42.6275420032,1.0,28.0,14.8917525773,
2566315252313490979,282.480119326,42.6330347153,1.0,18.0,9.76288659794,
2566315252313490986,282.334854042,42.6322731817,1.0,24.0,14.3144329897,
2566315252313491031,282.441517762,42.6404196869,2.0,21.0,10.6994818653,
2566315252313491037,282.34027305,42.5844032769,23.0,339.0,276.288659794,
