Kepler ID,RA (J2000),Dec (J2000),RA PM,Dec PM,Star/Gal ID,Teff,Log G,Metallicity,E(B-V),A_V,Radius,Parallax
1701554,286.1791200,37.2888750,-0.018,-0.002,0,,,,,,,
1701656,286.2062810,37.2499200,-0.005,-0.004,0,5672,5.081,-0.374,0.099,0.306,0.460,
1701672,286.2099900,37.2801300,-0.004,-0.004,0,5575,4.713,-0.075,0.120,0.372,0.727,
1701678,286.2112200,37.2533100,-0.001,-0.011,0,5709,4.888,-0.295,0.108,0.334,0.589,
1701692,286.2139800,37.2719400,0.002,-0.004,0,4962,4.441,-0.884,0.110,0.341,0.964,
1701763,286.2364500,37.2816300,-0.012,0.001,0,4622,3.038,-0.277,0.175,0.543,6.010,
1701801,286.2509400,37.2994900,-2.000e-4,-0.007,0,5671,4.493,0.117,0.150,0.464,0.964,
1849064,286.0915700,37.3912200,-0.008,-0.008,0,4889,4.785,-0.252,0.072,0.222,0.606,
1849130,286.1136800,37.3610600,0.000,0.000,0,5579,4.820,-0.308,0.125,0.388,0.635,
1849159,286.1235110,37.3418000,0.014,-0.005,0,5944,4.219,-0.487,0.048,0.148,1.371,
1849195,286.1385600,37.3701900,0.000,0.000,0,5084,4.840,-0.023,0.129,0.399,0.585,
1849235,286.1496210,37.3950510,-0.003,-0.004,0,,,,,,,
1849249,286.1556600,37.3898120,0.006,-9.000e-4,0,,,,,,,
1849321,286.1757000,37.3925800,0.001,-0.006,0,5762,4.581,-0.401,0.119,0.369,0.869,
1849326,286.1767100,37.3562900,0.002,-0.013,0,5417,4.559,-0.510,0.118,0.365,0.869,
1849341,286.1798100,37.3964900,2.000e-4,-0.015,0,4770,4.736,-0.807,0.069,0.214,0.628,
1849386,286.1929000,37.3081900,0.003,1.000e-4,0,6013,4.456,-0.222,0.136,0.421,1.024,
1849398,286.1980100,37.3872300,-0.009,-0.020,0,5704,4.490,-0.564,0.145,0.450,0.969,
1849403,286.2003000,37.3252200,-7.000e-4,0.001,0,4962,4.498,0.384,0.115,0.356,0.896,
1849415,286.2024920,37.3515100,-7.000e-4,0.005,0,,,,,,,
1849462,286.2159900,37.3610300,-0.003,-0.013,0,4789,3.677,-0.164,0.128,0.397,2.719,
1849474,286.2182700,37.3341100,0.014,-0.032,0,6088,4.419,-0.856,0.117,0.364,1.077,
1849500,286.2250900,37.3705100,0.002,-0.018,0,5949,4.559,-0.193,0.127,0.395,0.901,
1849547,286.2402900,37.3046300,0.001,-0.004,0,5397,4.478,0.029,0.123,0.382,0.961,
1849572,286.2468000,37.3389800,9.000e-4,-0.006,0,6089,4.530,-0.052,0.124,0.384,0.940,
1849587,286.2523400,37.3618100,-0.012,0.021,0,5362,4.594,-0.405,0.032,0.100,0.828,
1849624,286.2635810,37.3424000,-0.008,-0.010,0,5296,4.509,-0.498,0.086,0.265,0.915,
1849656,286.2709200,37.3074000,-0.002,1.000e-4,0,5688,4.403,-0.045,0.129,0.400,1.077,
1849664,286.2740400,37.3768000,-0.013,-0.014,0,5654,4.434,-0.914,0.134,0.414,1.035,
1849679,286.2803400,37.3293000,-0.001,-0.014,0,4768,3.240,-0.693,0.136,0.422,4.735,
1849689,286.2830700,37.3523400,-0.003,-1.000e-4,0,4710,4.402,-0.060,0.062,0.191,0.975,
1849698,286.2854400,37.3076600,0.003,0.004,0,5766,4.348,-0.015,0.136,0.421,1.158,
1849702,286.2859500,37.3870600,0.000,0.000,0,4960,4.752,-0.537,0.058,0.180,0.643,
1849734,286.2950100,37.3501100,0.006,-0.003,0,4950,4.174,-0.704,0.093,0.289,1.381,
1849785,286.3118590,37.3518200,-0.004,-0.005,0,5735,4.490,-0.203,0.126,0.390,0.971,
1849829,286.3246200,37.3522100,-7.000e-4,-0.010,0,4901,4.093,-0.474,0.131,0.406,1.541,
1849846,286.3309200,37.3956600,-0.004,-0.005,0,4833,4.249,-1.017,0.113,0.350,1.225,
1849885,286.3428710,37.3424600,0.015,4.000e-4,0,5506,4.334,-0.150,0.076,0.237,1.160,
1850100,286.4098310,37.3655600,-0.002,-0.017,0,6277,4.550,0.142,0.166,0.516,0.924,
1850194,286.4303100,37.3976100,-7.000e-4,-0.005,0,5740,4.424,-0.024,0.147,0.456,1.053,
1850285,286.4644700,37.3973280,0.000,0.000,0,,,,,,,
1995192,286.0528100,37.4261600,-0.003,-0.007,0,5603,4.626,-0.760,0.118,0.366,0.815,
