Kepler ID, Distance (cm)
1701554,
1701656,4.30317548436e+21
1701672,1.4607736804e+22
1701678,3.7496796156e+21
1701692,1.34880552051e+22
1701763,7.73914770286e+22
1701801,3.23709249961e+21
1849064,9.43781542746e+21
1849130,9.99643690421e+21
1849159,7.13105584169e+20
1849195,5.10417705479e+21
1849235,
1849249,
1849321,9.6100371239e+21
1849326,9.10953541647e+21
1849341,5.49990493499e+21
1849386,2.30165986793e+22
1849398,2.19301494723e+22
1849403,5.57417129571e+21
1849415,
1849462,1.21410895589e+22
1849474,2.23935925432e+22
1849500,1.60092692885e+22
1849547,4.09059991345e+21
1849572,1.92476885533e+22
1849587,7.57953804317e+21
1849624,1.34052780958e+22
1849656,2.19934651678e+22
1849664,1.51220524177e+22
1849679,5.60468563055e+22
1849689,7.35199513484e+21
1849698,1.48941806319e+22
1849702,2.75888188085e+21
1849734,1.82878586983e+21
1849785,1.09608656723e+22
1849829,2.9725613369e+21
1849846,1.26685952194e+22
1849885,1.29983786594e+21
1850100,2.12978130022e+22
1850194,2.16078191854e+22
1850285,
1995192,1.51550591134e+22
1995195,1.75344585265e+22
1995248,1.78299520431e+22
1995315,
1995316,7.09967338413e+21
1995323,5.62651429189e+21
1995340,1.70398103445e+22
1995351,1.4450751634e+22
1995358,9.87040628375e+22
1995430,2.5396750897e+21
1995493,8.13917651497e+20
1995522,
1995622,2.04881366661e+21
1995656,3.44832191096e+21
1995666,2.94744600881e+21
1995668,1.65830508281e+21
1995712,2.56772958219e+22
1995787,2.37992227828e+21
1995789,1.6030854281e+22
1995807,9.87610343506e+21
1995840,9.69636458926e+20
1995845,2.46246667631e+21
1995859,2.81505799643e+21
1996021,1.39123304948e+22
1996047,2.56020889182e+21
1996078,9.01570632463e+22
1996088,2.01094240537e+21
1996121,2.96183999481e+21
1996162,1.416245733e+21
1996181,2.76610207211e+21
1996214,2.46283496519e+21
1996240,8.30853940705e+20
1996260,
1996273,2.01641655427e+21
1996399,6.83237468317e+20
1996405,1.92735493527e+21
1996637,1.00395190725e+22
1996668,1.91921568839e+22
1996679,2.28457863189e+21
1996716,2.65977956912e+21
1996719,7.04698186888e+21
1996721,6.10702806525e+20
1996728,6.51280381784e+20
1996760,6.91251884589e+21
1996773,2.18164633832e+21
1996818,5.33122750556e+21
1996859,2.88640179602e+21
1996936,2.63912391269e+21
1997127,3.26604798917e+21
2140782,2.15669534315e+21
2140841,8.46230398506e+21
2140862,1.87004239862e+21
2140897,2.56268583669e+21
2140937,9.1110046286e+21
2140982,6.00147531617e+22
2141150,6.24692595713e+21
2141152,6.10743563757e+21
2141175,5.22588563168e+21
2141179,7.74643822047e+21
2141193,2.81266120617e+21
2141255,2.98074830174e+21
2141318,2.40244589124e+21
2141339,2.11800106548e+22
2141401,1.10775697847e+22
2141436,9.1702723971e+21
2141466,3.33013402863e+21
2141544,1.41726122274e+22
2141652,5.84676723522e+22
2141655,2.64618157232e+21
2141658,
2141736,2.0911428345e+21
2141753,1.35866524801e+21
2141783,2.41476723383e+22
2141787,2.3802278675e+21
2141812,1.95068034843e+22
2141852,
2141865,1.65199932506e+22
2141927,1.71346806992e+21
2141928,6.26869309129e+22
2141932,
2142026,1.08304097114e+21
2142052,2.69798074593e+21
2142070,2.37926107181e+21
2142074,1.51559487754e+22
2142080,3.08443779015e+22
2142091,1.30487281567e+22
2142095,4.37206958178e+22
2142183,4.21978456385e+21
2142244,
2142279,1.83528735057e+22
2142405,3.70119589776e+22
2142433,
2142490,
2142501,
2142508,6.42391436966e+21
2142522,1.98391447656e+22
2142628,
2142657,4.60321493002e+22
2142663,8.06620556467e+21
2142669,1.18348388465e+22
2142675,4.82642251512e+22
2142730,3.01798375351e+21
2142913,3.22934643534e+21
2283229,1.48711697833e+22
2283255,5.60507407694e+21
2283334,3.4993921998e+21
2283353,2.32905299818e+21
2283362,6.06026127555e+21
2283435,6.24635984723e+22
2283496,8.33652373401e+20
2283519,1.54720807513e+21
2283532,3.44018796247e+22
2283540,
2283541,9.16518930029e+20
2283543,2.27259532035e+21
2283544,3.05852332367e+21
2283560,1.08828730409e+22
2283589,1.2130158118e+22
2283682,
2283749,2.19848999393e+21
2283853,3.3213630715e+21
2283892,1.09922742808e+21
2283930,2.22045127839e+21
2283989,4.74307302424e+21
2284012,2.46170977475e+21
2284079,
2284116,5.23949409981e+21
2284211,2.18809375697e+21
2284278,
2284312,5.93419228296e+21
2284330,4.3297160205e+21
2284341,6.29151976828e+21
2284504,2.85373119017e+21
2284644,2.72671455153e+22
2284663,2.59803096092e+21
2284676,7.40608768475e+21
2284679,1.80887089004e+22
2284683,7.38100935996e+21
2284810,3.12899088257e+21
2284829,1.91804389259e+22
2284852,3.60278093004e+21
2284882,9.73628336627e+21
2284887,2.65223228906e+22
2284936,4.4000126644e+21
2284957,3.24516183197e+21
2284964,1.13280763327e+22
2285032,4.87924964316e+21
2285040,1.19587470652e+22
2285129,1.41366027747e+22
2285130,2.30052983361e+21
2285151,3.91013550123e+22
2285212,2.40306585487e+22
2285217,
2285325,2.75472974207e+21
2285548,8.98736288953e+21
2285551,4.60995802496e+22
3444426,4.59501455686e+21
3444518,2.1597805369e+21
3444527,1.19459295037e+22
3444565,8.20942497429e+21
3444569,3.81525861748e+21
3444571,
3444649,3.84981044731e+21
3444658,3.07191256908e+21
3444665,8.36558463407e+21
3444670,2.24312586465e+21
3444699,4.97442362681e+21
3444753,2.63398474591e+22
3444851,2.69147536914e+21
3444884,8.13917001206e+20
3444911,4.85403035882e+21
3444945,1.48789114487e+22
3444953,1.91231625796e+22
3444978,4.56806025743e+21
3445019,7.76827641133e+21
3445024,1.23958919476e+22
3445041,
3445064,3.42032119358e+21
3445068,2.39283132364e+21
3445089,4.95169289214e+21
3445101,1.7294760625e+22
3445129,1.62134236997e+21
3445151,2.07368811961e+22
3445192,3.21048575165e+21
3445218,2.6064286265e+22
3445235,2.49829121668e+21
3445266,
3445406,2.18292117757e+22
3445415,2.04688004502e+21
3445419,4.42145611587e+21
3445447,3.42865827008e+21
3445468,3.41559593483e+22
3445508,2.66916547904e+21
3445589,1.48667279782e+22
3445613,1.40195953944e+22
3445812,6.3070620164e+21
3445843,2.64919165071e+21
3445913,3.06630836533e+21
3542566,5.13016782783e+21
3542588,1.75910970502e+21
3542669,1.73582697467e+22
3542684,1.87970623781e+21
3542700,3.64579955704e+21
3542746,1.40066013761e+22
3542748,1.48787322264e+22
3542788,1.79296292168e+21
3542870,1.74065177968e+21
3542895,5.30298578044e+21
3542915,3.20749136881e+21
3542928,1.45009217624e+22
3542945,3.0047947833e+21
3542949,4.11096841275e+21
3542951,5.78455706469e+20
3542952,2.89031792731e+21
3542957,3.79552529876e+21
3542994,3.86607165208e+21
3543004,1.08397418866e+22
3543019,2.16599594583e+22
3543070,1.94043312593e+21
3543090,2.74750338581e+21
3543109,4.02049164274e+21
3543114,5.62454019271e+21
3543138,1.57620720009e+21
3543178,1.23932783205e+21
3543181,5.43859029884e+21
3543198,6.92800309513e+21
3543254,3.16367677106e+21
3543262,1.47884802376e+22
3543270,1.82239507114e+21
3543273,4.47528117619e+21
3543306,5.49778984913e+21
3543326,9.96044267135e+21
3543331,5.09923759869e+21
3543341,1.40071584826e+21
3543356,1.82322065372e+21
3543358,3.56198522696e+21
3543363,1.53386576846e+22
3543368,9.12822081941e+21
3543374,5.25028545564e+21
3543380,5.15221629186e+21
3543416,1.95050481155e+21
3543433,3.86560516451e+21
3543443,2.98134660229e+22
3543446,4.56333839334e+21
3543511,4.72307188414e+21
3543629,1.94686044921e+22
3543690,1.19966814579e+22
3543722,1.35815998897e+22
3543770,2.15705378404e+22
3543775,1.73221904953e+21
3543794,1.60726975502e+22
3543811,1.55282321745e+22
3543813,9.35757098877e+21
3543814,2.49446772163e+22
3543887,3.93354191141e+21
3543899,1.00002765624e+22
3543909,2.21226166034e+22
3543931,3.05508375173e+22
3543989,7.27625963895e+21
3544015,9.29481956856e+21
3544054,7.09235382041e+21
3544063,3.88256161815e+22
3544100,2.309130543e+22
3544106,2.17506034957e+21
3544121,3.28878599464e+22
3544142,2.99376043518e+21
3544163,1.47366566726e+22
3544175,1.80716503026e+22
3544201,5.30802958542e+22
3544208,9.47562747764e+21
3544229,2.2640727429e+21
3544256,2.41241291177e+21
3544258,2.00190152077e+21
3544260,2.44067539648e+22
3544323,9.54714328375e+21
3544342,2.9284764789e+21
3544346,6.20475871352e+20
3544352,2.51554633779e+22
3544371,2.08898556691e+21
3544384,1.10752988201e+22
3544390,4.1441103313e+22
3544418,2.48288970967e+21
3544421,6.33646559454e+21
3544426,4.31095874251e+21
3544437,2.98773032749e+21
3544494,1.22887582584e+22
3544501,1.06695499009e+22
3544534,6.51413159321e+21
3544556,
3544594,
3544595,1.18668450803e+22
3544653,2.19948369536e+21
3544657,1.3628003905e+22
3544662,7.32236588846e+21
3544673,1.5704786686e+22
3544695,1.5456708324e+22
3544709,
3544731,1.18170774712e+22
3544774,1.37860263098e+21
3544778,2.43524780501e+21
3544785,1.42308639133e+21
3544826,1.34327432599e+22
3544834,1.63628948728e+21
3544852,2.76578795013e+21
3544875,8.22627801935e+20
3544878,1.80896734487e+22
3544887,3.33991023461e+21
3544895,1.11776607244e+22
3544900,1.75792226985e+21
3544956,2.53731843493e+21
3544959,2.05149448646e+21
3544989,3.27373247164e+21
3545002,1.13403984345e+22
3545004,2.7064243862e+21
3545016,3.37517263895e+21
3545019,8.5424237086e+21
3545046,2.63838556431e+21
3545048,1.62227390381e+22
3545061,3.34741726561e+21
3545114,8.51989668019e+20
3545135,2.28402935224e+22
3545147,2.33763332914e+21
3545158,3.43743598485e+21
3545170,1.79965752903e+22
3545175,1.34529867105e+22
3545186,1.75691103198e+22
3545227,2.52336123163e+22
3545235,2.43512551652e+21
3545240,2.53535263492e+21
3545251,1.11079860741e+22
3545377,3.34938988104e+21
3545394,4.97679327556e+21
3545413,3.05743197388e+21
3545427,7.50312555944e+20
3545443,2.76596752791e+21
3545457,
3545458,2.81289049318e+22
3545478,
3545519,1.5950008909e+22
3545520,4.304371479e+22
3545533,3.10237940773e+21
3545563,8.46609397162e+21
3545583,3.19130682575e+21
3545590,3.76425930515e+21
3545592,1.87066662694e+21
3545593,1.01307498935e+21
3545626,1.39836215026e+22
3545652,9.21584306729e+21
3545661,4.042691062e+21
3545682,2.90400990444e+21
3545694,7.62884822689e+21
3545703,4.52642772463e+21
3545753,2.55360243894e+22
3545811,2.568043069e+21
3545822,6.57912425873e+21
3545831,1.32381001481e+21
3545832,1.06324827344e+22
3545840,9.4082392318e+20
3545842,3.28779957875e+21
3545924,1.62530340323e+21
3546046,7.97346361684e+22
3546052,1.95008635215e+21
